9120, 25935, 95, 95, 0, 0, 0, 0
9579, 26642, 100, 100, 0, 0, 0, 0
12699, 510823, 130, 428, 0, 0, 0, 0
9180, 25995, 96, 96, 0, 0, 0, 0
26694, 40644, 124, 126, 0, 0, 0, 0
8988, 25449, 94, 94, 0, 0, 0, 0
9120, 25935, 95, 95, 0, 0, 0, 0
332790, 363936, 340, 346, 0, 0, 0, 0
9024, 25662, 94, 94, 0, 0, 0, 0
9180, 25995, 96, 96, 0, 0, 0, 0
9217, 26447, 96, 97, 0, 0, 0, 0
9120, 25935, 95, 95, 0, 0, 0, 0
9180, 25995, 96, 96, 0, 0, 0, 0
11905, 26002, 110, 108, 0, 0, 0, 0
21527, 48778, 109, 110, 0, 0, 0, 0
208524, 65472, 253, 140, 0, 0, 0, 0
13792, 71784, 119, 135, 0, 0, 0, 0
34404, 85189, 135, 145, 0, 0, 0, 0
21768, 81628, 103, 104, 0, 0, 0, 0
9025, 83284, 94, 95, 0, 0, 0, 0
15481, 83476, 99, 99, 0, 0, 0, 0
18567, 82049, 100, 100, 0, 0, 0, 0
9025, 83284, 94, 95, 0, 0, 0, 0
9793, 85455, 98, 103, 0, 0, 0, 0
9024, 83848, 94, 94, 0, 0, 0, 0
9265, 83950, 98, 103, 0, 0, 0, 0
9024, 83848, 94, 94, 0, 0, 0, 0
8928, 82956, 93, 93, 0, 0, 0, 0
9121, 84364, 95, 96, 0, 0, 0, 0
9889, 88013, 99, 104, 0, 0, 0, 0
15744, 84734, 102, 103, 0, 0, 0, 0
16671, 86464, 111, 116, 0, 0, 0, 0
12742, 84778, 101, 102, 0, 0, 0, 0
9024, 83848, 94, 94, 0, 0, 0, 0
9121, 84364, 95, 96, 0, 0, 0, 0
9793, 87121, 98, 103, 0, 0, 0, 0
8736, 81292, 91, 93, 0, 0, 0, 0
9121, 84364, 95, 96, 0, 0, 0, 0
9120, 84740, 95, 95, 0, 0, 0, 0
12351, 85561, 98, 102, 0, 0, 0, 0
9467, 86032, 97, 100, 0, 0, 0, 0
11127, 88312, 100, 106, 0, 0, 0, 0
10537, 84780, 100, 104, 0, 0, 0, 0
9294, 85198, 96, 98, 0, 0, 0, 0
